id, Time, Type, Notes
2924,12:12:06 03-05-2017,Pee,
2923,10:22:27 03-05-2017,Pee and Poo,
2922,07:45:09 03-05-2017,Pee,
2921,04:49:54 03-05-2017,Pee,
2920,18:57:23 03-04-2017,Dry Diaper,
2919,18:53:07 03-04-2017,Pee,
2918,17:24:08 03-04-2017,Pee,
2917,13:50:19 03-04-2017,Pee and Poo,
2916,10:24:55 03-04-2017,Pee and Poo,
2915,07:55:33 03-04-2017,Pee,
2914,18:46:24 03-03-2017,Pee,
2913,17:38:01 03-03-2017,Poo,
2912,17:02:11 03-03-2017,Pee,
2911,14:11:46 03-03-2017,Pee and Poo,
2910,11:14:25 03-03-2017,Pee,
2909,08:03:46 03-03-2017,Pee,
2908,18:48:06 03-02-2017,Pee,
2907,17:33:51 03-02-2017,Pee,
2906,14:34:57 03-02-2017,Pee,
2905,11:55:59 03-02-2017,Pee,
2904,09:19:37 03-02-2017,Pee and Poo,
2903,07:53:11 03-02-2017,Pee,
2902,18:51:30 03-01-2017,Pee,
2901,17:15:31 03-01-2017,Pee and Poo,
2900,13:50:57 03-01-2017,Pee,
2899,11:26:08 03-01-2017,Pee and Poo,
2898,10:27:16 03-01-2017,Pee,
2897,08:10:02 03-01-2017,Pee,
2896,18:25:22 02-28-2017,Pee,
2895,16:32:30 02-28-2017,Pee,
2894,13:38:47 02-28-2017,Pee,
2893,10:38:17 02-28-2017,Pee and Poo,
2892,07:03:59 02-28-2017,Pee,
2891,18:48:10 02-27-2017,Pee,
2890,17:22:11 02-27-2017,Pee,
2889,15:15:45 02-27-2017,Pee,
2888,14:00:55 02-27-2017,Pee,
2887,10:57:03 02-27-2017,Pee,
2886,08:06:44 02-27-2017,Pee and Poo,
2885,19:52:08 02-26-2017,Pee,
2884,18:01:51 02-26-2017,Pee,
2883,14:39:46 02-26-2017,Pee,
2882,11:05:56 02-26-2017,Pee,
2881,07:27:44 02-26-2017,Pee,
2879,18:23:57 02-25-2017,Pee and Poo,
2880,16:45:16 02-25-2017,Pee,
2878,13:20:22 02-25-2017,Pee,
2877,08:45:31 02-25-2017,Pee,
2875,05:27:18 02-25-2017,Pee,
2876,19:05:24 02-24-2017,Pee,
2874,14:54:34 02-24-2017,Pee,
2873,11:06:22 02-24-2017,Pee,
2872,07:07:02 02-24-2017,Pee,
2871,18:46:08 02-23-2017,Pee,
2870,16:53:48 02-23-2017,Pee,
2869,13:30:54 02-23-2017,Pee and Poo,
2868,09:50:09 02-23-2017,Pee and Poo,
2867,07:30:13 02-23-2017,Pee,
2866,18:13:32 02-22-2017,Pee,
2865,13:38:11 02-22-2017,Pee,
2864,10:55:06 02-22-2017,Pee,
2863,08:26:05 02-22-2017,Pee and Poo,Big blowout
2862,18:38:00 02-21-2017,Pee,
2861,16:56:32 02-21-2017,Pee,
2860,14:00:13 02-21-2017,Pee,
2859,10:22:37 02-21-2017,Pee and Poo,Epic blowout
2858,07:44:02 02-21-2017,Pee,
2857,18:47:49 02-20-2017,Pee,
2856,16:58:39 02-20-2017,Pee,
2855,14:45:14 02-20-2017,Pee and Poo,
2854,12:46:22 02-20-2017,Pee and Poo,
2853,11:04:54 02-20-2017,Pee and Poo,
2852,07:58:40 02-20-2017,Pee,
2851,18:30:35 02-19-2017,Pee,
2850,17:08:55 02-19-2017,Pee,
2849,14:20:35 02-19-2017,Pee,
2848,12:09:52 02-19-2017,Pee and Poo,
2847,08:48:22 02-19-2017,Poo,
2845,08:19:09 02-19-2017,Pee,
2844,18:15:02 02-18-2017,Pee,
2843,18:13:06 02-18-2017,Pee,
2842,15:31:59 02-18-2017,Pee and Poo,
2841,11:04:18 02-18-2017,Pee,
2840,08:02:24 02-18-2017,Pee,
2839,17:01:23 02-17-2017,Pee,
2838,13:45:37 02-17-2017,Pee and Poo,
2837,11:10:36 02-17-2017,Pee,
2836,07:43:43 02-17-2017,Pee and Poo,
2835,06:50:14 02-17-2017,Pee,
2834,19:25:51 02-16-2017,Pee,
2833,17:51:05 02-16-2017,Pee,
2832,16:25:59 02-16-2017,Pee,
2831,13:14:43 02-16-2017,Pee and Poo,
2830,10:03:21 02-16-2017,Pee,
2829,08:25:04 02-16-2017,Pee and Poo,
2828,22:50:28 02-15-2017,Pee,
2827,17:27:34 02-15-2017,Pee and Poo,
2826,13:17:15 02-15-2017,Pee,
2825,09:53:01 02-15-2017,Pee and Poo,
2824,08:40:01 02-15-2017,Pee and Poo,
2823,06:29:33 02-15-2017,Pee,
2822,04:03:20 02-15-2017,Pee,
2821,18:14:30 02-14-2017,Pee,
2820,16:05:15 02-14-2017,Pee,
2819,13:40:12 02-14-2017,Pee and Poo,
2817,13:03:19 02-14-2017,Pee and Poo,
2816,09:45:37 02-14-2017,Pee,
2818,06:30:41 02-14-2017,Poo,
2815,06:12:22 02-14-2017,Pee,
2814,19:14:28 02-13-2017,Pee,
2813,17:20:56 02-13-2017,Pee,
2812,15:46:29 02-13-2017,Pee,
2811,13:44:00 02-13-2017,Pee and Poo,
2810,10:04:18 02-13-2017,Pee and Poo,
2809,16:50:24 02-12-2017,Pee,
2808,16:24:53 02-12-2017,Pee,
2807,12:28:45 02-12-2017,Pee,
2806,10:01:30 02-12-2017,Pee and Poo,
2805,06:06:40 02-12-2017,Pee,
2804,19:00:13 02-11-2017,Pee,
2803,17:15:13 02-11-2017,Pee,
2802,15:32:39 02-11-2017,Pee,
2801,13:49:55 02-11-2017,Pee and Poo,
2800,11:30:03 02-11-2017,Pee,
2799,10:06:59 02-11-2017,Pee and Poo,
2798,07:06:44 02-11-2017,Pee and Poo,
2796,18:59:43 02-10-2017,Pee,
2795,14:48:55 02-10-2017,Pee,
2794,13:00:02 02-10-2017,Pee,
2793,10:39:50 02-10-2017,Pee,
2792,06:56:04 02-10-2017,Pee,
2791,18:45:38 02-09-2017,Pee,
2790,15:32:49 02-09-2017,Pee,
2789,13:45:17 02-09-2017,Pee,
2788,11:20:00 02-09-2017,Pee,
2787,08:55:23 02-09-2017,Pee and Poo,
2786,06:00:24 02-09-2017,Pee,
2783,18:30:57 02-08-2017,Pee,
2785,16:25:34 02-08-2017,Pee,
2782,12:47:04 02-08-2017,Pee,
2781,09:20:11 02-08-2017,Pee,
2780,06:23:33 02-08-2017,Pee,
2779,18:57:22 02-07-2017,Pee,
2778,15:51:36 02-07-2017,Pee and Poo,
2777,14:46:17 02-07-2017,Pee,
2776,12:41:13 02-07-2017,Pee,
2775,10:25:19 02-07-2017,Pee,
2774,09:06:26 02-07-2017,Pee and Poo,
2772,07:56:14 02-07-2017,Pee,
2773,18:55:44 02-06-2017,Pee,
2771,15:08:33 02-06-2017,Pee and Poo,
2770,12:51:36 02-06-2017,Pee and Poo,
2769,11:02:19 02-06-2017,Pee,
2768,09:00:37 02-06-2017,Pee,
2767,04:50:06 02-06-2017,Pee,
2766,18:42:25 02-05-2017,Pee,
2765,16:31:54 02-05-2017,Pee,
2764,14:38:21 02-05-2017,Pee and Poo,
2763,12:13:17 02-05-2017,Pee,
2762,10:09:31 02-05-2017,Pee,
2761,07:58:17 02-05-2017,Pee,
2760,18:55:09 02-04-2017,Pee,
2759,17:15:42 02-04-2017,Pee,
2758,14:21:11 02-04-2017,Pee,
2757,12:23:55 02-04-2017,Pee,
2756,10:33:01 02-04-2017,Pee and Poo,
2755,07:55:44 02-04-2017,Pee,
2754,18:56:23 02-03-2017,Pee,
2753,17:57:02 02-03-2017,Pee,
2752,15:12:16 02-03-2017,Pee,
2751,13:20:52 02-03-2017,Pee and Poo,
2750,11:24:06 02-03-2017,Pee,
2749,10:24:26 02-03-2017,Pee and Poo,
2748,07:17:44 02-03-2017,Pee,
2747,18:50:08 02-02-2017,Pee,
2746,17:02:46 02-02-2017,Pee,
2745,14:21:47 02-02-2017,Pee and Poo,
2744,14:20:20 02-02-2017,Pee and Poo,
2743,11:30:26 02-02-2017,Pee,
2742,09:10:47 02-02-2017,Poo,
2741,08:08:12 02-02-2017,Pee,
2740,17:54:52 02-01-2017,Pee,
2739,15:01:17 02-01-2017,Pee,
2738,13:28:04 02-01-2017,Pee and Poo,
2737,10:39:06 02-01-2017,Dry Diaper,
2736,10:04:55 02-01-2017,Pee and Poo,
2735,07:36:04 02-01-2017,Pee,
2734,23:14:54 01-31-2017,Pee,
2733,19:23:08 01-31-2017,Pee and Poo,
2732,16:19:35 01-31-2017,Pee,
2731,14:01:38 01-31-2017,Pee,
2730,12:13:22 01-31-2017,Pee,
2729,10:55:11 01-31-2017,Pee,
2728,07:32:34 01-31-2017,Pee,
2727,18:38:02 01-30-2017,Pee,
2726,17:04:50 01-30-2017,Pee and Poo,
2725,14:11:20 01-30-2017,Pee and Poo,
2724,10:58:32 01-30-2017,Pee and Poo,
2723,08:45:19 01-30-2017,Pee and Poo,
2722,08:03:33 01-30-2017,Pee,
2721,18:42:04 01-29-2017,Pee,
2720,17:12:35 01-29-2017,Pee,
2719,14:38:17 01-29-2017,Pee,
2718,11:39:07 01-29-2017,Pee,
2717,10:47:39 01-29-2017,Pee,
2716,08:12:36 01-29-2017,Pee,
2715,17:26:55 01-28-2017,Pee,
2714,15:31:55 01-28-2017,Pee and Poo,
2713,13:00:34 01-28-2017,Pee,
2712,11:18:34 01-28-2017,Pee and Poo,
2711,08:50:40 01-28-2017,Pee,
2710,18:52:18 01-27-2017,Pee,
2709,17:33:36 01-27-2017,Poo,
2708,17:02:13 01-27-2017,Pee,
2707,14:17:52 01-27-2017,Pee and Poo,
2706,11:10:05 01-27-2017,Pee,
2705,08:36:06 01-27-2017,Pee,
2704,07:22:10 01-27-2017,Pee,
2703,18:51:37 01-26-2017,Pee,
2702,17:08:05 01-26-2017,Pee and Poo,
2701,14:29:15 01-26-2017,Pee and Poo,
2700,12:37:10 01-26-2017,Pee,
2699,11:04:53 01-26-2017,Pee and Poo,
2698,07:40:21 01-26-2017,Pee,
2697,18:39:23 01-25-2017,Pee,
2696,17:21:58 01-25-2017,Pee,
2695,14:48:47 01-25-2017,Pee and Poo,
2694,14:31:26 01-25-2017,Pee and Poo,
2693,12:34:49 01-25-2017,Pee,
2692,11:12:27 01-25-2017,Pee,
2691,08:39:05 01-25-2017,Pee,
2690,05:46:49 01-25-2017,Pee,
2689,18:58:42 01-24-2017,Pee,
2688,17:50:52 01-24-2017,Pee,
2687,15:21:10 01-24-2017,Pee,
2686,12:42:46 01-24-2017,Pee,
2685,11:02:11 01-24-2017,Pee and Poo,
2684,09:35:04 01-24-2017,Pee,
2683,08:27:19 01-24-2017,Pee,
