id, Start Time, End Time, Feed Type, Quantity (oz), Quantity (ml or g), Notes, Duration (Minutes), Food Type, Unit, Bottle Type
2927,08:08:35 02-04-2017,08:16:18 02-04-2017,Right Breast,,,,7,Breast Milk,,
2926,05:03:40 02-04-2017,05:15:19 02-04-2017,Left Breast,,,,11,Breast Milk,,
2925,18:37:20 02-03-2017,18:42:36 02-03-2017,Right Breast,,,,5,Breast Milk,,
2924,17:42:28 02-03-2017,17:48:47 02-03-2017,Left Breast,,,,6,Breast Milk,,
2923,14:43:01 02-03-2017,14:49:34 02-03-2017,Right Breast,,,,6,Breast Milk,,
2922,11:54:30 02-03-2017,12:01:59 02-03-2017,Left Breast,,,,7,Breast Milk,,
2921,09:33:41 02-03-2017,09:40:21 02-03-2017,Right Breast,,,,6,Breast Milk,,
2920,07:04:57 02-03-2017,07:12:30 02-03-2017,Left Breast,,,,7,Breast Milk,,
2919,18:41:17 02-02-2017,18:47:42 02-02-2017,Right Breast,,,,6,Breast Milk,,
2918,16:43:54 02-02-2017,16:51:05 02-02-2017,Left Breast,,,,7,Breast Milk,,
2917,14:03:04 02-02-2017,14:12:13 02-02-2017,Right Breast,,,,9,Breast Milk,,
2916,11:31:02 02-02-2017,11:39:29 02-02-2017,Left Breast,,,,8,Breast Milk,,
2914,08:47:16 02-02-2017,08:58:44 02-02-2017,Right Breast,,,,11,Breast Milk,,
2913,06:06:39 02-02-2017,06:15:21 02-02-2017,Left Breast,,,,8,Breast Milk,,
2912,17:55:45 02-01-2017,18:01:44 02-01-2017,Right Breast,,,,5,Breast Milk,,
2911,16:33:04 02-01-2017,16:40:05 02-01-2017,Left Breast,,,,7,Breast Milk,,
2910,13:30:39 02-01-2017,13:46:35 02-01-2017,Right Breast,,,,15,Breast Milk,,
2909,10:41:10 02-01-2017,10:49:55 02-01-2017,Left Breast,,,,8,Breast Milk,,
2908,07:41:38 02-01-2017,07:50:38 02-01-2017,Right Breast,,,,9,Breast Milk,,
2907,04:08:32 02-01-2017,04:17:24 02-01-2017,Left Breast,,,,8,Breast Milk,,
2906,23:52:43 01-31-2017,00:01:24 02-01-2017,Right Breast,,,,8,Breast Milk,,
2905,19:07:40 01-31-2017,19:14:48 01-31-2017,Left Breast,,,,7,Breast Milk,,
2904,16:51:37 01-31-2017,17:00:34 01-31-2017,Right Breast,,,,8,Breast Milk,,
2903,13:46:52 01-31-2017,13:56:37 01-31-2017,Left Breast,,,,9,Breast Milk,,
2902,10:29:13 01-31-2017,10:41:04 01-31-2017,Right Breast,,,,11,Breast Milk,,
2901,07:34:57 01-31-2017,07:49:16 01-31-2017,Left Breast,,,,14,Breast Milk,,
2900,18:25:09 01-30-2017,18:30:33 01-30-2017,Right Breast,,,,5,Breast Milk,,
2899,16:46:03 01-30-2017,16:54:02 01-30-2017,Left Breast,,,,7,Breast Milk,,
2898,13:49:41 01-30-2017,13:56:33 01-30-2017,Right Breast,,,,6,Breast Milk,,
2897,10:31:35 01-30-2017,10:44:00 01-30-2017,Left Breast,,,,12,Breast Milk,,
2896,07:27:47 01-30-2017,07:38:33 01-30-2017,Right Breast,,,,10,Breast Milk,,
2895,18:41:12 01-29-2017,18:47:47 01-29-2017,Left Breast,,,,6,Breast Milk,,
2894,17:25:14 01-29-2017,17:34:01 01-29-2017,Right Breast,,,,8,Breast Milk,,
2893,14:40:23 01-29-2017,14:48:47 01-29-2017,Left Breast,,,,8,Breast Milk,,
2892,11:39:38 01-29-2017,11:51:04 01-29-2017,Right Breast,,,,11,Breast Milk,,
2891,07:46:51 01-29-2017,07:59:37 01-29-2017,Left Breast,,,,12,Breast Milk,,
2890,18:38:24 01-28-2017,18:44:24 01-28-2017,Right Breast,,,,5,Breast Milk,,
2889,17:27:35 01-28-2017,17:35:38 01-28-2017,Left Breast,,,,8,Breast Milk,,
2888,15:03:56 01-28-2017,15:22:41 01-28-2017,Bottle,3.89,115,Teethed for first few minutes but then started drinking.,18,Liquid,METRIC,Pump
2887,12:00:14 01-28-2017,12:08:33 01-28-2017,Right Breast,,,,8,Breast Milk,,
2886,08:58:45 01-28-2017,09:05:37 01-28-2017,Left Breast,,,,6,Breast Milk,,
2885,05:49:55 01-28-2017,06:01:10 01-28-2017,Right Breast,,,,11,Breast Milk,,
2884,18:37:39 01-27-2017,18:42:56 01-27-2017,Left Breast,,,,5,Breast Milk,,
2883,17:10:19 01-27-2017,17:17:21 01-27-2017,Right Breast,,,,7,Breast Milk,,
2882,14:35:27 01-27-2017,14:42:54 01-27-2017,Left Breast,,,,7,Breast Milk,,
2881,11:43:46 01-27-2017,11:54:26 01-27-2017,Right Breast,,,,10,Breast Milk,,
2880,08:16:56 01-27-2017,08:27:01 01-27-2017,Left Breast,,,,10,Breast Milk,,
2879,05:51:04 01-27-2017,06:01:52 01-27-2017,Right Breast,,,,10,Breast Milk,,
2878,18:35:52 01-26-2017,18:40:11 01-26-2017,Left Breast,,,,4,Breast Milk,,
2877,17:09:28 01-26-2017,17:18:10 01-26-2017,Right Breast,,,,8,Breast Milk,,
2876,14:14:39 01-26-2017,14:24:39 01-26-2017,Left Breast,,,,10,Breast Milk,,
2874,11:23:04 01-26-2017,11:32:43 01-26-2017,Right Breast,,,,9,Breast Milk,,
2873,08:21:58 01-26-2017,08:33:54 01-26-2017,Left Breast,,,,11,Breast Milk,,
2872,05:49:58 01-26-2017,05:59:01 01-26-2017,Right Breast,,,,9,Breast Milk,,
2871,18:40:06 01-25-2017,18:46:07 01-25-2017,Left Breast,,,,6,Breast Milk,,
2870,17:03:53 01-25-2017,17:10:56 01-25-2017,Right Breast,,,,7,Breast Milk,,
2869,14:06:33 01-25-2017,14:16:17 01-25-2017,Left Breast,,,,9,Breast Milk,,
2868,11:13:17 01-25-2017,11:21:22 01-25-2017,Right Breast,,,,8,Breast Milk,,
2867,08:14:40 01-25-2017,08:22:52 01-25-2017,Left Breast,,,,8,Breast Milk,,
2866,04:34:20 01-25-2017,04:42:34 01-25-2017,Right Breast,,,,8,Breast Milk,,
2865,18:41:38 01-24-2017,18:48:16 01-24-2017,Left Breast,,,,6,Breast Milk,,
2864,17:26:50 01-24-2017,17:35:03 01-24-2017,Right Breast,,,,8,Breast Milk,,
2863,14:59:26 01-24-2017,15:09:11 01-24-2017,Left Breast,,,,9,Breast Milk,,
2862,12:05:25 01-24-2017,12:12:26 01-24-2017,Right Breast,,,,7,Breast Milk,,
2861,08:49:49 01-24-2017,09:00:02 01-24-2017,Left Breast,,,,10,Breast Milk,,
2860,05:49:12 01-24-2017,06:00:10 01-24-2017,Right Breast,,,,10,Breast Milk,,
2859,17:59:27 01-23-2017,18:07:02 01-23-2017,Left Breast,,,,7,Breast Milk,,
2858,16:17:16 01-23-2017,16:24:54 01-23-2017,Right Breast,,,,7,Breast Milk,,
2857,12:51:46 01-23-2017,13:00:33 01-23-2017,Left Breast,,,,8,Breast Milk,,
2856,10:01:30 01-23-2017,10:10:51 01-23-2017,Right Breast,,,,9,Breast Milk,,
2855,07:03:13 01-23-2017,07:12:30 01-23-2017,Left Breast,,,,9,Breast Milk,,
2854,18:58:30 01-22-2017,19:03:55 01-22-2017,Right Breast,,,,5,Breast Milk,,
2853,17:34:25 01-22-2017,17:42:58 01-22-2017,Left Breast,,,,8,Breast Milk,,
2852,14:09:34 01-22-2017,14:18:01 01-22-2017,Right Breast,,,,8,Breast Milk,,
2851,11:48:12 01-22-2017,11:55:00 01-22-2017,Left Breast,,,,6,Breast Milk,,
2850,08:49:50 01-22-2017,08:57:48 01-22-2017,Right Breast,,,,7,Breast Milk,,
2849,05:46:48 01-22-2017,05:56:50 01-22-2017,Left Breast,,,,10,Breast Milk,,
2848,18:04:02 01-21-2017,18:14:21 01-21-2017,Right Breast,,,,10,Breast Milk,,
2847,16:11:29 01-21-2017,16:19:36 01-21-2017,Left Breast,,,,8,Breast Milk,,
2846,13:08:37 01-21-2017,13:14:22 01-21-2017,Right Breast,,,,5,Breast Milk,,
2845,10:11:51 01-21-2017,10:18:00 01-21-2017,Left Breast,,,,6,Breast Milk,,
2844,07:20:19 01-21-2017,07:31:42 01-21-2017,Right Breast,,,,11,Breast Milk,,
2843,00:38:44 01-21-2017,00:46:47 01-21-2017,Left Breast,,,,8,Breast Milk,,
2842,18:35:00 01-20-2017,18:40:24 01-20-2017,Right Breast,,,,5,Breast Milk,,
2841,17:01:44 01-20-2017,17:10:53 01-20-2017,Left Breast,,,,9,Breast Milk,,
2840,14:29:34 01-20-2017,14:35:48 01-20-2017,Right Breast,,,,6,Breast Milk,,
2839,11:45:38 01-20-2017,11:54:27 01-20-2017,Left Breast,,,,8,Breast Milk,,
2838,09:27:55 01-20-2017,09:37:48 01-20-2017,Right Breast,,,,9,Breast Milk,,
2837,05:53:22 01-20-2017,06:06:50 01-20-2017,Left Breast,,,,13,Breast Milk,,
2836,18:00:25 01-19-2017,18:06:05 01-19-2017,Right Breast,,,,5,Breast Milk,,
2835,16:05:26 01-19-2017,16:13:39 01-19-2017,Left Breast,,,,8,Breast Milk,,
2834,12:34:51 01-19-2017,12:41:55 01-19-2017,Right Breast,,,,7,Breast Milk,,
2833,09:49:57 01-19-2017,09:57:55 01-19-2017,Left Breast,,,,7,Breast Milk,,
2832,07:15:26 01-19-2017,07:25:24 01-19-2017,Right Breast,,,,9,Breast Milk,,
2831,18:10:14 01-18-2017,18:15:58 01-18-2017,Left Breast,,,,5,Breast Milk,,
2830,16:31:53 01-18-2017,16:39:57 01-18-2017,Right Breast,,,,8,Breast Milk,,
2829,13:23:13 01-18-2017,13:31:09 01-18-2017,Left Breast,,,,7,Breast Milk,,
2828,10:25:25 01-18-2017,10:35:19 01-18-2017,Right Breast,,,,9,Breast Milk,,
2827,07:32:50 01-18-2017,07:42:33 01-18-2017,Left Breast,,,,9,Breast Milk,,
2826,18:34:29 01-17-2017,18:43:08 01-17-2017,Right Breast,,,,8,Breast Milk,,
2825,17:05:31 01-17-2017,17:14:56 01-17-2017,Left Breast,,,,9,Breast Milk,,
2824,14:25:35 01-17-2017,14:37:13 01-17-2017,Right Breast,,,,11,Breast Milk,,
2823,10:48:28 01-17-2017,11:03:00 01-17-2017,Left Breast,,,,14,Breast Milk,,
2822,07:52:14 01-17-2017,08:01:25 01-17-2017,Right Breast,,,,9,Breast Milk,,
2821,18:11:28 01-16-2017,18:17:26 01-16-2017,Left Breast,,,,5,Breast Milk,,
2820,16:44:24 01-16-2017,16:52:34 01-16-2017,Right Breast,,,,8,Breast Milk,,
2819,13:39:15 01-16-2017,13:49:14 01-16-2017,Left Breast,,,,9,Breast Milk,,
2818,10:32:25 01-16-2017,10:41:04 01-16-2017,Right Breast,,,,8,Breast Milk,,
2817,07:20:32 01-16-2017,07:35:46 01-16-2017,Left Breast,,,,15,Breast Milk,,
2816,18:28:32 01-15-2017,18:35:12 01-15-2017,Right Breast,,,,6,Breast Milk,,
2815,17:06:29 01-15-2017,17:14:43 01-15-2017,Left Breast,,,,8,Breast Milk,,
2814,14:08:46 01-15-2017,14:19:47 01-15-2017,Right Breast,,,,11,Breast Milk,,
2813,10:43:05 01-15-2017,10:56:48 01-15-2017,Left Breast,,,,13,Breast Milk,,
2812,07:42:30 01-15-2017,07:55:03 01-15-2017,Right Breast,,,,12,Breast Milk,,
2811,18:44:40 01-14-2017,18:52:50 01-14-2017,Left Breast,,,,8,Breast Milk,,
2810,17:28:54 01-14-2017,17:38:47 01-14-2017,Right Breast,,,,9,Breast Milk,,
2809,15:06:22 01-14-2017,15:16:31 01-14-2017,Left Breast,,,,10,Breast Milk,,
2808,12:14:30 01-14-2017,12:23:00 01-14-2017,Right Breast,,,,8,Breast Milk,,
2807,09:15:54 01-14-2017,09:28:00 01-14-2017,Left Breast,,,,12,Breast Milk,,
2806,06:00:24 01-14-2017,06:19:06 01-14-2017,Right Breast,,,,18,Breast Milk,,
2805,18:26:59 01-13-2017,18:34:35 01-13-2017,Left Breast,,,,7,Breast Milk,,
2804,16:57:05 01-13-2017,17:05:06 01-13-2017,Right Breast,,,,8,Breast Milk,,
2803,14:12:04 01-13-2017,14:27:25 01-13-2017,Left Breast,,,,15,Breast Milk,,
2802,09:31:27 01-13-2017,09:39:58 01-13-2017,Right Breast,,,,8,Breast Milk,,
2801,07:08:21 01-13-2017,07:21:13 01-13-2017,Left Breast,,,,12,Breast Milk,,
2800,19:11:34 01-12-2017,19:18:59 01-12-2017,Right Breast,,,,7,Breast Milk,,
2799,16:49:54 01-12-2017,16:58:41 01-12-2017,Left Breast,,,,8,Breast Milk,,
2798,14:29:07 01-12-2017,14:38:24 01-12-2017,Right Breast,,,,9,Breast Milk,,
2797,13:59:05 01-12-2017,14:09:53 01-12-2017,Bottle,1.35,40,,10,Liquid,METRIC,Pump
2795,10:29:07 01-12-2017,10:44:10 01-12-2017,Left Breast,,,,15,Breast Milk,,
2794,07:20:24 01-12-2017,07:32:54 01-12-2017,Right Breast,,,,12,Breast Milk,,
2793,18:47:51 01-11-2017,18:56:03 01-11-2017,Left Breast,,,,8,Breast Milk,,
2792,16:55:11 01-11-2017,17:05:04 01-11-2017,Right Breast,,,,9,Breast Milk,,
2791,14:06:48 01-11-2017,14:18:34 01-11-2017,Left Breast,,,,11,Breast Milk,,
2790,11:09:28 01-11-2017,11:23:48 01-11-2017,Bottle,3.38,100,Leanne,14,Liquid,METRIC,Pump
2789,07:46:26 01-11-2017,07:56:53 01-11-2017,Right Breast,,,,10,Breast Milk,,
2788,02:26:51 01-11-2017,02:36:40 01-11-2017,Left Breast,,,,9,Breast Milk,,
2787,18:28:38 01-10-2017,18:35:50 01-10-2017,Right Breast,,,,7,Breast Milk,,
2786,17:24:21 01-10-2017,17:35:03 01-10-2017,Left Breast,,,,10,Breast Milk,,
2785,14:56:01 01-10-2017,15:04:33 01-10-2017,Right Breast,,,,8,Breast Milk,,
2784,10:58:28 01-10-2017,11:10:09 01-10-2017,Left Breast,,,,11,Breast Milk,,
2783,08:24:04 01-10-2017,08:38:34 01-10-2017,Right Breast,,,,14,Breast Milk,,
2782,05:11:12 01-10-2017,05:22:46 01-10-2017,Left Breast,,,,11,Breast Milk,,
2781,18:37:09 01-09-2017,18:43:56 01-09-2017,Right Breast,,,,6,Breast Milk,,
2780,17:04:38 01-09-2017,17:12:53 01-09-2017,Left Breast,,,,8,Breast Milk,,
