Id, Start Time, End Time, Category, Sub Category, Notes, Uses Timer
160,16:00:55 07-02-2016,16:00:55 07-02-2016,Hygiene,Bath,Didn't like it,0
161,12:15:33 07-06-2016,12:20:33 07-06-2016,Activity,Tummy Time,Fussy ,1
163,14:00:55 07-06-2016,14:00:55 07-06-2016,Hygiene,Clip Nails,,0
162,14:30:18 07-06-2016,14:39:21 07-06-2016,Hygiene,Bath,,1
164,02:00:28 07-07-2016,02:03:28 07-07-2016,Activity,Tummy Time,,1
165,12:53:25 07-07-2016,13:00:56 07-07-2016,Activity,Tummy Time,Naked,1
166,03:40:56 07-08-2016,03:50:56 07-08-2016,Activity,Play,Excerise and stretching ,1
167,04:03:19 07-08-2016,04:06:08 07-08-2016,Activity,Tummy Time,,1
10,14:03:21 07-08-2016,14:05:23 07-08-2016,Activity,Tummy Time,,1
12,01:32:07 07-10-2016,01:36:56 07-10-2016,Activity,Tummy Time,,1
13,16:50:50 07-10-2016,17:10:01 07-10-2016,Hygiene,Bath,,1
14,12:06:10 07-11-2016,12:14:13 07-11-2016,Activity,Tummy Time,,1
15,14:30:05 07-13-2016,14:40:10 07-13-2016,Hygiene,Bath,,1
16,14:45:46 07-13-2016,14:45:46 07-13-2016,Hygiene,Clip Nails,,0
17,08:29:10 07-14-2016,08:31:32 07-14-2016,Activity,Tummy Time,,1
175,19:19:13 07-15-2016,19:24:15 07-15-2016,Activity,Tummy Time,,1
176,18:42:07 07-16-2016,18:44:00 07-16-2016,Activity,Tummy Time,,1
177,18:54:13 07-16-2016,18:54:13 07-16-2016,Mood,Fussy,,0
178,16:15:20 07-17-2016,16:27:15 07-17-2016,Hygiene,Bath,,1
179,16:54:14 07-17-2016,17:02:29 07-17-2016,Activity,Tummy Time,,1
180,09:10:47 07-19-2016,09:11:48 07-19-2016,Activity,Tummy Time,,1
181,11:05:22 07-19-2016,11:11:29 07-19-2016,Activity,Tummy Time,,1
182,19:19:53 07-20-2016,19:28:23 07-20-2016,Hygiene,Bath,,1
183,10:14:12 07-21-2016,10:18:51 07-21-2016,Activity,Tummy Time,,1
184,17:30:09 07-21-2016,17:30:09 07-21-2016,Mood,Fussy,,0
185,10:30:17 07-23-2016,10:31:45 07-23-2016,Activity,Tummy Time,,1
186,13:24:39 07-24-2016,13:24:39 07-24-2016,Mood,Fussy,,0
187,17:18:59 07-24-2016,17:35:00 07-24-2016,Hygiene,Bath,,1
188,20:04:28 07-24-2016,20:07:33 07-24-2016,Activity,Tummy Time,,1
189,09:12:12 07-26-2016,09:13:12 07-26-2016,Activity,Tummy Time,,1
190,13:42:14 07-27-2016,13:50:27 07-27-2016,Hygiene,Bath,,1
191,11:27:02 07-28-2016,11:30:09 07-28-2016,Activity,Tummy Time,,1
192,19:08:49 07-29-2016,19:10:50 07-29-2016,Activity,Tummy Time,,1
193,08:02:09 07-30-2016,08:03:21 07-30-2016,Activity,Tummy Time,,1
194,17:33:15 07-31-2016,17:44:58 07-31-2016,Hygiene,Bath,,1
195,10:57:52 08-01-2016,11:06:01 08-01-2016,Activity,Tummy Time,,1
196,13:51:51 08-02-2016,13:57:39 08-02-2016,Activity,Tummy Time,,1
197,18:45:23 08-03-2016,19:00:57 08-03-2016,Hygiene,Bath,,1
198,09:52:59 08-04-2016,09:57:33 08-04-2016,Activity,Tummy Time,,1
199,08:17:19 08-06-2016,08:18:55 08-06-2016,Activity,Tummy Time,,1
200,08:33:45 08-06-2016,08:49:28 08-06-2016,Diary,,Staring at mobile,1
201,15:14:35 08-06-2016,15:18:35 08-06-2016,Activity,Tummy Time,,1
202,18:20:58 08-06-2016,18:30:58 08-06-2016,Diary,,Staring at the mobile,1
203,17:19:35 08-07-2016,17:28:28 08-07-2016,Hygiene,Bath,,1
204,10:18:45 08-08-2016,10:24:34 08-08-2016,Activity,Tummy Time,,1
205,10:28:57 08-09-2016,10:30:06 08-09-2016,Activity,Tummy Time,,1
206,19:07:36 08-09-2016,19:11:37 08-09-2016,Activity,Tummy Time,,1
207,19:17:48 08-10-2016,19:28:02 08-10-2016,Hygiene,Bath,,1
208,19:56:42 08-14-2016,20:08:47 08-14-2016,Hygiene,Bath,,1
209,12:49:08 08-15-2016,12:53:35 08-15-2016,Activity,Tummy Time,,1
210,07:19:22 08-16-2016,07:20:54 08-16-2016,Activity,Tummy Time,,1
211,19:50:56 08-17-2016,20:00:29 08-17-2016,Hygiene,Bath,,1
212,15:33:46 08-19-2016,15:43:47 08-19-2016,Activity,Tummy Time,,1
213,07:38:49 08-20-2016,07:42:52 08-20-2016,Activity,Tummy Time,,1
214,20:00:48 08-21-2016,20:13:04 08-21-2016,Hygiene,Bath,,1
215,17:40:31 08-22-2016,17:49:40 08-22-2016,Activity,Tummy Time,,1
