id, Start Time, End Time, Notes, Approximate Duration (Minutes)
1300,07:18:54 11-28-2016,,,12
1299,19:12:01 11-27-2016,06:30:26 11-28-2016,Dad. 12 minutes. New sleep sack. Had freak out during bouncing. Lots of crying. Held upright and bounced to calm her. Calmed enough to use soother. Quiet in arms but still sobbing a little. Put her down and realized she was pretty much sleeping. Took out soother and she stayed sleeping.,678
1298,14:53:15 11-27-2016,16:52:57 11-27-2016,Mom. Swing. Tried 3 PUPDs in the crib. Crying and not finding thumb. After 20 minutes switched to swing and she was out in 10.,119
1297,11:49:31 11-27-2016,13:01:31 11-27-2016,Dad. 22 minutes. Spent the first half crying and chewing on anything near her mouth (her hands  my fingers  soother). Eventually settled down but spent 10 minutes making squeaking noises before she fell asleep with thumb.,72
1296,09:06:31 11-27-2016,09:54:55 11-27-2016,Mom. Crib. 5 minutes. Played with blanket a little before finding thumb.,48
1295,06:51:27 11-27-2016,07:53:16 11-27-2016,,61
1294,19:33:43 11-26-2016,06:24:21 11-27-2016,Dad. Bounced with soother until calm. Tried putting down in crib  but she started screaming again. Repeated bouncing with soother until she fell asleep. She lost the soother and I put her down very carefully.,650
1293,18:31:50 11-26-2016,19:23:44 11-26-2016,Mom. Crib. 7 minutes. First out down she cried and wouldn't find thumb. Picked her back up with soother. Next put down she find her thumb easily and went to sleep.  7:15 making noises. Fell back asleep. Woke up 8 minutes later screaming.,51
1291,14:53:38 11-26-2016,15:14:45 11-26-2016,Dad Ergo carrier,21
1290,11:30:33 11-26-2016,13:19:46 11-26-2016,Dad. 30 minutes. Gave up on crib after 30 minutes and put her in the swing.,109
1289,10:29:44 11-26-2016,10:40:22 11-26-2016,Dad. 5 minutes. fell asleep on her own. Put her down and hid out of sight. She squirmed  rubbed her face  played with blanket  and sucked on thumb. Eventually fell asleep.,10
1288,07:43:33 11-26-2016,09:06:41 11-26-2016,Dad. 1 minute.,83
